gene.id	cdna.length
FBgn0023517	1070
FBgn0040066	1637
FBgn0005670	1594
FBgn0000210	8021
FBgn0040334	1280
FBgn0023520	2310
FBgn0023530	811
FBgn0004050	2599
FBgn0027791	2070
FBgn0004654	1895
FBgn0003714	663
FBgn0003116	1755
FBgn0000667	3511
FBgn0040377	878
FBgn0023515	3451
FBgn0040395	2971
FBgn0023515	3385
FBgn0023510	6061
FBgn0004860	4614
FBgn0023526	1428
FBgn0003371	3124
FBgn0023549	2953
FBgn0026086	2587
FBgn0023528	2651
FBgn0004655	6773
FBgn0000210	4155
FBgn0052801	477
FBgn0001150	1782
FBgn0026878	583
FBgn0052806	387
FBgn0003371	3210
FBgn0011606	4528
FBgn0000210	4419
FBgn0025629	923
FBgn0023545	1182
FBgn0029596	920
FBgn0023527	1918
FBgn0026088	511
FBgn0026086	2654
FBgn0040387	4861
FBgn0023130	2210
FBgn0023518	8082
FBgn0026090	700
FBgn0025625	5230
FBgn0003517	1230
FBgn0040395	2861
FBgn0025628	2371
FBgn0003371	3075
FBgn0023540	1942
FBgn0001189	2517
FBgn0003079	3420
FBgn0000482	3158
FBgn0004643	2576
FBgn0000667	3577
FBgn0023522	1657
FBgn0024996	1352
FBgn0023542	1778
FBgn0023511	3221
FBgn0025632	2224
FBgn0024991	3074
FBgn0250874	1721
FBgn0029704	2244
FBgn0029811	605
FBgn0052783	2706
FBgn0014031	1410
FBgn0029763	4047
FBgn0029877	1074
FBgn0029662	2649
FBgn0024977	719
FBgn0011760	1480
FBgn0025612	944
FBgn0029795	1437
FBgn0029863	1267
FBgn0029723	3709
FBgn0026084	883
FBgn0053080	3188
FBgn0029664	1473
FBgn0040393	559
FBgn0029694	813
FBgn0029822	2345
FBgn0029903	5837
FBgn0022942	3014
FBgn0040352	777
FBgn0025644	792
FBgn0052785	72
FBgn0052745	471
FBgn0029809	1433
FBgn0000479	3828
FBgn0029705	1489
FBgn0026015	2967
FBgn0004832	1119
FBgn0052756	1895
FBgn0011276	1428
FBgn0029665	775
FBgn0029818	2395
FBgn0029877	1092
FBgn0029764	4509
FBgn0029857	1440
FBgn0029858	1745
FBgn0013987	2040
FBgn0029667	2254
FBgn0022768	5231
FBgn0029727	1440
FBgn0029783	1141
FBgn0029836	804
FBgn0000635	3447
FBgn0024992	3088
FBgn0029770	744
FBgn0025679	962
FBgn0029848	1695
FBgn0019661	3748
FBgn0028325	1813
FBgn0029701	573
FBgn0010014	1211
FBgn0029686	3375
FBgn0029747	2125
FBgn0029903	5996
FBgn0029690	1869
FBgn0040356	966
FBgn0000542	6747
FBgn0029799	1346
FBgn0040918	2195
FBgn0003514	1140
FBgn0029833	1263
FBgn0024998	1957
FBgn0027564	2021
FBgn0029733	1856
FBgn0261383	5705
FBgn0000042	1605
FBgn0028746	629
FBgn0040355	1084
FBgn0014026	1061
FBgn0029502	888
FBgn0029706	3783
FBgn0029874	1682
FBgn0029891	2884
FBgn0029839	1267
FBgn0029730	1594
FBgn0000479	3834
FBgn0041252	754
FBgn0029642	750
FBgn0011761	750
FBgn0027546	2677
FBgn0029769	1927
FBgn0029716	1931
FBgn0000092	1014
FBgn0013987	2015
FBgn0024994	2044
FBgn0015565	2577
FBgn0029645	1033
FBgn0029866	1924
FBgn0046687	1632
FBgn0052758	4104
FBgn0029867	2138
FBgn0029828	1408
FBgn0029662	2412
FBgn0003210	4823
FBgn0029899	10132
FBgn0029816	827
FBgn0000524	3824
FBgn0029700	921
FBgn0029689	2617
FBgn0026702	2779
FBgn0003747	1380
FBgn0028491	2612
FBgn0029746	1780
FBgn0014024	3337
FBgn0029771	1238
FBgn0066114	1554
FBgn0029750	2655
FBgn0029881	5398
FBgn0025387	3292
FBgn0029840	4875
FBgn0028665	1804
FBgn0015286	2054
FBgn0040384	1733
FBgn0028325	1957
FBgn0010295	594
FBgn0029676	2070
FBgn0024973	2421
FBgn0029820	2566
FBgn0029647	447
FBgn0029825	1744
FBgn0000479	2167
FBgn0029648	845
FBgn0029643	943
FBgn0044046	1044
FBgn0029719	2145
FBgn0015565	2568
FBgn0023215	2579
FBgn0028474	3716
FBgn0003655	2023
FBgn0029763	4122
FBgn0029725	1418
FBgn0014026	1091
FBgn0029703	1911
FBgn0024332	2754
FBgn0029714	976
FBgn0029814	3133
FBgn0040384	1845
FBgn0029738	3034
FBgn0029649	795
FBgn0029843	3370
FBgn0029778	1900
FBgn0040354	984
FBgn0029722	1878
FBgn0026085	712
FBgn0000394	1899
FBgn0026080	2345
FBgn0029801	2400
FBgn0019661	3460
FBgn0052755	1347
FBgn0000479	3831
FBgn0053080	2782
FBgn0011760	1605
FBgn0040918	2486
FBgn0003053	6458
FBgn0029819	2486
FBgn0024980	1659
FBgn0025615	1185
FBgn0052748	73
FBgn0029753	1904
FBgn0029762	2487
FBgn0029687	2215
FBgn0000479	2841
FBgn0029715	1229
FBgn0029658	835
FBgn0029685	3643
FBgn0086911	10795
FBgn0003028	4433
FBgn0029663	4140
FBgn0029718	693
FBgn0029895	4299
FBgn0029669	914
FBgn0028961	3704
FBgn0052751	1590
FBgn0029853	951
FBgn0025815	2784
FBgn0000479	4091
FBgn0029723	3514
FBgn0000479	2604
FBgn0029768	3105
FBgn0029710	1693
FBgn0029783	1159
FBgn0029898	2091
FBgn0029870	3447
FBgn0029813	957
FBgn0000928	3503
FBgn0002707	3606
FBgn0029879	2285
FBgn0029709	1102
FBgn0029838	1064
FBgn0029826	1079
FBgn0029879	2217
FBgn0029783	1282
FBgn0029864	4632
FBgn0029003	2079
FBgn0029861	3233
FBgn0029661	1509
FBgn0029891	2804
FBgn0029763	4085
FBgn0052791	3589
FBgn0029657	1392
FBgn0024992	3033
FBgn0000635	2891
FBgn0029868	956
FBgn0029707	408
FBgn0061196	1075
FBgn0000520	2017
FBgn0029765	519
FBgn0029752	1108
FBgn0003028	4861
FBgn0029713	1998
FBgn0029687	2559
FBgn0029873	1799
FBgn0029810	2336
FBgn0029696	534
FBgn0029822	3067
FBgn0029702	2383
FBgn0028325	1657
FBgn0011277	1424
FBgn0011760	1454
FBgn0086558	1914
FBgn0022942	3265
FBgn0029656	1659
FBgn0000221	1448
FBgn0010294	547
FBgn0003285	4441
FBgn0029729	860
FBgn0003028	5654
FBgn0029693	3017
FBgn0029789	3488
FBgn0029738	3391
FBgn0029778	1928
FBgn0029903	5737
FBgn0040353	993
FBgn0028360	3028
FBgn0029679	2682
FBgn0003139	1607
FBgn0029878	3394
FBgn0040905	415
FBgn0029666	2794
FBgn0029831	2602
FBgn0052793	2603
FBgn0040069	1864
FBgn0023215	2438
FBgn0029745	1092
FBgn0029672	1708
FBgn0029724	979
FBgn0004647	10189
FBgn0000479	2386
FBgn0029644	717
FBgn0003302	1364
FBgn0029676	2085
FBgn0005390	5596
FBgn0029764	3357
FBgn0029830	3759
FBgn0029769	1791
FBgn0029697	4074
FBgn0029804	1982
FBgn0015565	2750
FBgn0011760	2205
FBgn0025613	1752
FBgn0029798	3306
FBgn0014024	3272
FBgn0052786	2706
FBgn0029821	1739
FBgn0004368	6073
FBgn0029687	2326
FBgn0000376	3784
FBgn0029785	545
FBgn0024975	1902
FBgn0029849	1834
FBgn0029903	5795
FBgn0029692	1209
FBgn0260484	2056
FBgn0000644	883
FBgn0015286	2374
FBgn0029856	1058
FBgn0015794	830
FBgn0029662	2348
FBgn0029800	647
FBgn0015818	1657
FBgn0029646	1187
FBgn0002933	523
FBgn0029851	1606
FBgn0029824	2890
FBgn0010296	238
FBgn0025645	946
FBgn0029849	1929
FBgn0052762	754
FBgn0029669	1137
FBgn0029899	10353
FBgn0029737	2313
FBgn0040906	436
FBgn0016974	1348
FBgn0003996	2352
FBgn0025838	946
FBgn0029708	2425
FBgn0029660	1722
FBgn0261383	5455
FBgn0029775	2983
FBgn0040904	508
FBgn0000927	2239
FBgn0029843	3391
FBgn0029785	604
FBgn0029720	2472
FBgn0004368	5476
FBgn0026751	2284
FBgn0028491	2772
FBgn0026060	2428
FBgn0000042	1638
FBgn0029688	8670
FBgn0026084	894
FBgn0029728	5682
FBgn0000479	3106
FBgn0052761	71
FBgn0029681	1994
FBgn0029711	2929
FBgn0029687	2457
FBgn0026083	7079
FBgn0029672	1711
FBgn0086899	5849
FBgn0040384	1906
FBgn0025739	2589
FBgn0029669	900
FBgn0029837	1972
FBgn0003449	830
FBgn0052493	72
FBgn0029712	888
FBgn0029823	1998
FBgn0013987	1988
FBgn0000479	2435
FBgn0029756	2617
FBgn0000376	3845
FBgn0028982	6151
FBgn0052750	1572
FBgn0040396	830
FBgn0029812	1028
FBgn0029807	3574
FBgn0000179	4048
FBgn0052773	420
FBgn0029663	4200
FBgn0026079	2444
FBgn0040907	319
FBgn0029866	1740
FBgn0062413	2103
FBgn0025118	72
FBgn0000635	2873
FBgn0029639	731
FBgn0015286	2178
FBgn0028369	3438
FBgn0029827	1158
FBgn0003374	1540
FBgn0003086	695
FBgn0000479	3792
FBgn0029870	3677
FBgn0043796	2006
FBgn0029755	1643
FBgn0029766	1782
FBgn0028369	5110
FBgn0029763	4205
FBgn0026084	1173
FBgn0029751	1157
FBgn0029817	1014
FBgn0028325	1854
FBgn0014340	3017
FBgn0029717	887
FBgn0000479	2866
FBgn0029659	1155
FBgn0028491	2817
FBgn0029870	3608
FBgn0004687	1321
FBgn0016984	3614
FBgn0050265	1771
FBgn0010228	1133
FBgn0034598	4388
FBgn0004896	3866
FBgn0004362	1303
FBgn0029961	1845
FBgn0029996	2436
FBgn0029892	1175
FBgn0034718	3018
FBgn0250838	619
FBgn0000359	855
FBgn0027342	3380
FBgn0029980	1310
FBgn0034551	720
FBgn0030160	605
FBgn0029944	3483
FBgn0030008	2002
FBgn0029971	509
FBgn0029925	1087
FBgn0052675	1889
FBgn0003162	1629
FBgn0050393	1216
FBgn0029897	1065
FBgn0030091	4044
FBgn0034726	665
FBgn0028292	2429
FBgn0003162	1798
FBgn0030107	1113
FBgn0030088	1175
FBgn0034657	2688
FBgn0034713	1210
FBgn0029914	2112
FBgn0052675	2121
FBgn0000405	2548
FBgn0083167	409
FBgn0050389	4006
FBgn0034730	1710
FBgn0030029	948
FBgn0260866	3202
FBgn0030079	631
FBgn0003447	2840
FBgn0029909	1218
FBgn0034560	1105
FBgn0041712	1791
FBgn0020653	2273
FBgn0030054	3817
FBgn0050284	1175
FBgn0034578	673
FBgn0034718	3071
FBgn0052694	2528
FBgn0034644	2806
FBgn0052703	3721
FBgn0040653	427
FBgn0002968	5088
FBgn0034573	1853
FBgn0003748	2819
FBgn0034820	904
FBgn0040931	420
FBgn0034643	3335
FBgn0027280	2538
FBgn0034826	1273
FBgn0030208	2432
FBgn0034697	2596
FBgn0015277	3208
FBgn0029932	2080
FBgn0003009	2656
FBgn0030025	746
FBgn0040923	361
FBgn0004198	2518
FBgn0041629	2142
FBgn0003731	4563
FBgn0030120	1300
FBgn0011661	2278
FBgn0243516	3669
FBgn0030052	2655
FBgn0050404	1682
FBgn0030038	1854
FBgn0028341	3046
FBgn0034580	1448
FBgn0034835	1303
FBgn0086450	3397
FBgn0034816	1669
FBgn0005631	6557
FBgn0011824	971
FBgn0030050	618
FBgn0021979	1969
FBgn0034789	3393
FBgn0034606	4594
FBgn0034750	1226
FBgn0000077	1422
FBgn0034655	1223
FBgn0026384	1140
FBgn0052706	875
FBgn0014868	1516
FBgn0034689	1626
FBgn0034667	1993
FBgn0030103	580
FBgn0017566	2593
FBgn0002715	1703
FBgn0026318	2768
FBgn0029990	1472
FBgn0023506	1732
FBgn0050413	528
FBgn0030224	1034
FBgn0030228	2984
FBgn0034841	934
FBgn0025878	2113
FBgn0052683	5143
FBgn0030114	2391
FBgn0050411	1231
FBgn0034763	2077
FBgn0030071	396
FBgn0034758	582
FBgn0028371	1907
FBgn0004403	853
FBgn0030086	2117
FBgn0034629	2261
FBgn0030093	2654
FBgn0034618	4878
FBgn0050185	720
FBgn0050412	1063
FBgn0052719	3876
FBgn0034670	800
FBgn0040942	1034
FBgn0034718	2867
FBgn0004646	2194
FBgn0030163	1179
FBgn0040063	748
FBgn0003891	8205
FBgn0050296	2515
FBgn0030218	2032
FBgn0034824	2049
FBgn0005391	1553
FBgn0052694	1341
FBgn0029942	995
FBgn0002968	5247
FBgn0034733	3987
FBgn0034732	3211
FBgn0030089	4710
FBgn0050295	2463
FBgn0034803	986
FBgn0030174	1506
FBgn0029894	1801
FBgn0022700	1472
FBgn0034595	617
FBgn0042098	1095
FBgn0000405	2609
FBgn0000711	2179
FBgn0030082	1210
FBgn0040235	1268
FBgn0040319	3147
FBgn0026415	1545
FBgn0034688	1595
FBgn0034614	1130
FBgn0047092	1872
FBgn0034711	1762
FBgn0046297	870
FBgn0026582	1342
FBgn0050401	1136
FBgn0052727	588
FBgn0003656	5571
FBgn0243516	3327
FBgn0034721	576
FBgn0034865	1197
FBgn0010415	1962
FBgn0027084	2030
FBgn0010501	1756
FBgn0004828	1530
FBgn0034837	1194
FBgn0029951	2478
FBgn0034654	869
FBgn0034624	2057
FBgn0030195	1255
FBgn0004656	6052
FBgn0034729	1120
FBgn0029897	873
FBgn0030086	2121
FBgn0001263	2295
FBgn0034727	1441
FBgn0030041	1565
FBgn0030099	959
FBgn0003977	5695
FBgn0027073	1762
FBgn0052713	704
FBgn0030006	1056
FBgn0011661	2452
FBgn0030217	2825
FBgn0034577	1934
FBgn0050259	1672
FBgn0034681	825
FBgn0034822	403
FBgn0034827	2501
FBgn0029948	721
FBgn0011586	793
FBgn0030148	2441
FBgn0029084	1286
FBgn0040922	316
FBgn0000405	2670
FBgn0026144	1825
FBgn0042180	2005
FBgn0008636	1802
FBgn0034740	1217
FBgn0052693	1026
FBgn0029913	1546
FBgn0016726	378
FBgn0034650	1219
FBgn0086693	3372
FBgn0004856	1953
FBgn0034800	1296
FBgn0034627	1604
FBgn0029993	2301
FBgn0034590	5304
FBgn0029940	978
FBgn0004828	1519
FBgn0034734	8387
FBgn0003656	1771
FBgn0027553	2189
FBgn0020378	3372
FBgn0030077	3310
FBgn0030035	2544
FBgn0034650	1392
FBgn0034707	2746
FBgn0030089	4692
FBgn0034741	522
FBgn0000395	4327
FBgn0034870	345
FBgn0034583	1461
FBgn0029896	3291
FBgn0030003	2044
FBgn0052675	2208
FBgn0040660	567
FBgn0030183	1594
FBgn0034605	1798
FBgn0020307	4903
FBgn0034725	1488
FBgn0029887	2334
FBgn0034612	3939
FBgn0050273	658
FBgn0034659	1149
FBgn0052677	7524
FBgn0050202	82
FBgn0003748	2660
FBgn0085437	5256
FBgn0034814	1464
FBgn0003023	3101
FBgn0034839	484
FBgn0086367	1975
FBgn0030164	1232
FBgn0029996	2332
FBgn0034829	2832
FBgn0034660	1811
FBgn0030067	1262
FBgn0030208	2415
FBgn0040940	282
FBgn0034849	948
FBgn0030092	897
FBgn0030097	848
FBgn0016641	5002
FBgn0029968	1686
FBgn0034599	1051
FBgn0050394	3192
FBgn0034565	438
FBgn0029931	1162
FBgn0030018	5113
FBgn0034797	5536
FBgn0050289	1107
FBgn0029994	1402
FBgn0030040	919
FBgn0034791	885
FBgn0050274	1407
FBgn0011661	2283
FBgn0034729	1167
FBgn0030051	1575
FBgn0004646	1820
FBgn0034684	1583
FBgn0243516	3798
FBgn0034710	1696
FBgn0004656	5940
FBgn0052699	2177
FBgn0029974	1668
FBgn0022786	3397
FBgn0243516	3261
FBgn0030053	1887
FBgn0010269	1799
FBgn0030162	1438
FBgn0030074	516
FBgn0030098	877
FBgn0034634	2834
FBgn0029924	2221
FBgn0001186	2517
FBgn0003204	2496
FBgn0260858	1424
FBgn0028497	3048
FBgn0034745	2119
FBgn0030055	3084
FBgn0003900	2098
FBgn0052681	4521
FBgn0002576	3469
FBgn0034720	4586
FBgn0003731	4648
FBgn0013272	4355
FBgn0050209	72
FBgn0034636	2348
FBgn0050206	72
FBgn0034784	1488
FBgn0034736	1949
FBgn0011661	2997
FBgn0034611	2553
FBgn0027330	3211
FBgn0001206	4658
FBgn0050194	2505
FBgn0003748	2737
FBgn0021979	1691
FBgn0029986	2003
FBgn0030049	4087
FBgn0034666	1059
FBgn0027108	2753
FBgn0052698	1762
FBgn0028327	1398
FBgn0034808	2048
FBgn0034716	3052
FBgn0050417	843
FBgn0034671	608
FBgn0052700	1853
FBgn0029929	1107
FBgn0030121	2166
FBgn0030206	2173
FBgn0020312	3444
FBgn0029882	892
FBgn0052685	5917
FBgn0034691	4655
FBgn0016041	1701
FBgn0010470	1297
FBgn0050279	348
FBgn0030105	423
FBgn0000427	3740
FBgn0050184	752
FBgn0034744	760
FBgn0034646	1199
FBgn0041237	1239
FBgn0000233	2947
FBgn0034858	2061
FBgn0030057	1163
FBgn0034794	1112
FBgn0034718	3069
FBgn0053143	4771
FBgn0261394	999
FBgn0034638	941
FBgn0030177	1614
FBgn0029946	794
FBgn0030016	1242
FBgn0034617	1981
FBgn0067102	3340
FBgn0021767	2100
FBgn0034634	2838
FBgn0034745	3740
FBgn0030160	536
FBgn0052673	594
FBgn0026679	3442
FBgn0030191	1573
FBgn0003204	3226
FBgn0003062	1331
FBgn0034552	1671
FBgn0029975	1758
FBgn0034708	3138
FBgn0027342	3645
FBgn0020257	3449
FBgn0026369	4635
FBgn0029979	6378
FBgn0040467	659
FBgn0028341	2474
FBgn0030073	1360
FBgn0052686	3600
FBgn0034663	669
FBgn0026411	3077
FBgn0034756	1756
FBgn0015903	2799
FBgn0050414	1407
FBgn0050407	72
FBgn0030052	2517
FBgn0034807	851
FBgn0030122	1585
FBgn0029504	6483
FBgn0034859	3994
FBgn0027280	2552
FBgn0034692	1801
FBgn0034709	1986
FBgn0003748	2995
FBgn0011661	2273
FBgn0034793	1068
FBgn0034774	657
FBgn0004656	5664
FBgn0034788	1813
FBgn0030012	1586
FBgn0030065	3528
FBgn0004198	10438
FBgn0034880	3003
FBgn0034844	2848
FBgn0030007	1698
FBgn0034840	1180
FBgn0030189	2011
FBgn0034833	881
FBgn0002968	4492
FBgn0034693	3962
FBgn0034825	1210
FBgn0027864	1304
FBgn0010622	1183
FBgn0029932	2603
FBgn0030011	1548
FBgn0030052	2795
FBgn0001133	1887
FBgn0041238	1414
FBgn0029997	3532
FBgn0052726	458
FBgn0034706	1665
FBgn0050394	3288
FBgn0011661	2234
FBgn0034606	4304
FBgn0003687	1377
FBgn0086408	3093
FBgn0005778	1216
FBgn0019949	1472
FBgn0028342	663
FBgn0034768	683
FBgn0030066	1143
FBgn0067052	897
FBgn0011661	2353
FBgn0030037	2759
FBgn0034761	620
FBgn0045483	1104
FBgn0029897	919
FBgn0052695	388
FBgn0029997	3329
FBgn0034769	600
FBgn0024943	4089
FBgn0034564	474
FBgn0003162	1750
FBgn0030108	1513
FBgn0052708	852
FBgn0034861	898
FBgn0030208	2401
FBgn0030104	489
FBgn0034550	1836
FBgn0250838	657
FBgn0052740	73
FBgn0030081	2044
FBgn0050406	72
FBgn0050412	1160
FBgn0024250	3192
FBgn0025186	3002
FBgn0030027	4266
FBgn0016041	1882
FBgn0010415	1984
FBgn0052743	9897
FBgn0034674	2591
FBgn0034853	4516
FBgn0261067	561
FBgn0029897	837
FBgn0053200	480
FBgn0000427	3754
FBgn0034862	2636
FBgn0034554	876
FBgn0040929	1317
FBgn0029936	1706
FBgn0003447	2583
FBgn0017482	1944
FBgn0020653	2053
FBgn0034657	2773
FBgn0040234	4161
FBgn0029912	3238
FBgn0000360	1112
FBgn0030063	858
FBgn0004404	595
FBgn0034704	2406
FBgn0034644	3504
FBgn0050389	4022
FBgn0034737	434
FBgn0034585	2320
FBgn0029971	485
FBgn0050272	1494
FBgn0034834	1415
FBgn0011872	71
FBgn0013272	4202
FBgn0052694	2440
FBgn0030028	1079
FBgn0050398	1000
FBgn0046297	863
FBgn0030207	1234
FBgn0034863	697
FBgn0011211	2295
FBgn0003391	5414
FBgn0050390	1062
FBgn0029989	1745
FBgn0020307	3467
FBgn0041236	1173
FBgn0050285	551
FBgn0010415	2481
FBgn0034838	1210
FBgn0000008	5180
FBgn0034642	1338
FBgn0029937	1045
FBgn0030065	4191
FBgn0027084	1969
FBgn0025549	2037
FBgn0034804	1560
FBgn0020617	3242
FBgn0243516	3672
FBgn0050287	955
FBgn0034854	5060
FBgn0030100	1344
FBgn0022986	1616
FBgn0034641	5177
FBgn0014032	1693
FBgn0260789	5974
FBgn0034748	1912
FBgn0052676	5406
FBgn0029992	5087
FBgn0004828	1418
FBgn0034717	3146
FBgn0029950	2053
FBgn0003023	3241
FBgn0030048	1119
FBgn0030085	875
FBgn0029976	4251
FBgn0034709	2047
FBgn0030182	3486
FBgn0028341	2822
FBgn0011586	877
FBgn0030026	1075
FBgn0025800	3160
FBgn0034867	436
FBgn0045482	1101
FBgn0030101	1332
FBgn0034628	2514
FBgn0034759	369
FBgn0004362	1510
FBgn0022985	2656
FBgn0004403	642
FBgn0030202	348
FBgn0034618	4900
FBgn0034657	2891
FBgn0034722	2522
